state,cuisine
New York,4
Ohio,6
Kentucky,6
South Carolina,5
Arkansas,6
Oklahoma,5
Indiana,5
North Carolina,5
Tennessee,6
Texas,5
Louisiana,5
Kansas,4
North Dakota,4
Utah,5
Georgia,6
New Mexico,4
Oregon,5
Hawaii,5
Virgin Islands,4
Michigan,5
Missouri,6
Wisconsin,4
Washington,5
Mississippi,5
Nebraska,4
Maine,4
Minnesota,4
Alabama,5
Iowa,4
West Virginia,5
Arizona,5
South Dakota,4
Wyoming,3
Illinois,6
Virginia,6
Florida,5
California,5
Montana,3
Idaho,4
Pennsylvania,5
Rhode Island,3
Nevada,5
New Jersy,5
Massachusetts,4
Maryland,4
Colorado,4
New Hampshire,4
Connecticut,4
Alasaka,3
Delaware,4
District of Columbia,4
