name,distinctcity,percentage
McDonald's,1363,19.25413194
Burger King,768,10.84898997
Taco Bell,692,9.775392005
Wendy's,580,8.193247634
Arby's,442,6.243819749
KFC,362,5.113716627
Sonic Drive In,326,4.605170222
SUBWAY,285,4.025992372
Domino's Pizza,281,3.969487216
Hardee's,173,2.443848001
Jack In The Box,163,2.302585111
Jimmy John's,142,2.005933041
Chick-Fil-A,130,1.836417573
Bojangles' Famous Chicken 'n Biscuits,109,1.539765504
Pizza Hut,104,1.469134058
Five Guys,91,1.285492301
Dairy Queen,83,1.172481989
Carl's Jr,76,1.073597966
Taco John's,71,1.002966521
Whataburger,65,0.918208787
Waffle House,61,0.86170363
Krystal,52,0.734567029
Quiznos,42,0.593304139
Boston Market,41,0.57917785
Checkers,39,0.550925272
White Castle,39,0.550925272
Del Taco,39,0.550925272
Long John Silver's,37,0.522672694
Culver's,37,0.522672694
Church's Chicken,30,0.423788671
Panda Express,29,0.409662382
El Pollo Loco,29,0.409662382
Rally's,26,0.367283515
Captain D's,26,0.367283515
Popeyes Louisiana Kitchen,21,0.29665207
Qdoba Mexican Eats,20,0.28252578
Steak 'n Shake,19,0.268399491
Hardee's / Red Burrito,19,0.268399491
Popeye's Chicken & Biscuits,15,0.211894335
Wienerschnitzel,14,0.197768046
Dunkin' Donuts,13,0.183641757
Little Caesars Pizza,13,0.183641757
Blimpie,13,0.183641757
Raising Cane's Chicken Fingers,12,0.169515468
Baja Fresh,12,0.169515468
In-N-Out Burger,12,0.169515468
Taco Time,11,0.155389179
Gold Star Chili,11,0.155389179
Papa John's Pizza,11,0.155389179
Pei Wei,10,0.14126289
Panera Bread,10,0.14126289
Chicken Express,10,0.14126289
